Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.052364,-0.0085782,0.046426,0,0,0,72.183,2.0084,0.00017234,-0.0066835,2.4018,-0.0015707,4.2065,0,0,0,0,0,0,package://core_description/meshes/base_link.STL,0.89412,0.89412,0.89412,1,0,0,0,0,0,0,package://core_description/meshes/base_link.STL,,CSC V4 Shell-1;Arm Bracket Assembly Right V3-1/L bracket-1;MirrorArm Bracket Assembly-1/MirrorL bracket-1;A-AntennaAssemblyV2[Core]-1/P-LowerAntennaMastSegment[Antenna]-1;Truss Light Duty Mini 360 QR Clamp 50mm Tubing-2/Truss Light Duty Mini 360 QR Clamp 50mm Tubing.stp-1/Truss_QR_MiniClamp.stp-1;Truss Light Duty Mini 360 QR Clamp 50mm Tubing-1/Truss Light Duty Mini 360 QR Clamp 50mm Tubing.stp-1/Truss_QR_MiniClamp.stp-1;A-AntennaAssemblyV2[Core]-1/P-MiddleAntennaMastSegment[Antenna]-1;A-AntennaAssemblyV2[Core]-1/P-UpperAntennaMastSegment[Antenna]-1;A-AntennaAssemblyV2[Core]-1/A-AntennaMastAssembly[Antenna]-1/P-AntennaMastPlate[AntennaMast]-1;A-AntennaAssemblyV2[Core]-1/A-AntennaMastAssembly[Antenna]-1/Aluminum Ground Plane-1;A-AntennaAssemblyV2[Core]-1/P-AntennaMastMount[Antenna]-1;Core Mount Front Plate-1;P-INTERFACE PLATE [LANCE]-1;P-FRONT CAMERA HOLDER 2-1;Averaging System Outer Plate V3-2;Averaging System Outer Plate V3-1;Easy To weld Tube Spacer-1;Easy To weld Tube Spacer-2;Easy To weld Tube Spacer-4;Easy To weld Tube Spacer-3,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
left_suspension_link,-0.00015298,-0.094081,0.024218,0,0,0,2.3189,0.0010284,2.2716E-07,4.3618E-07,0.006131,6.6975E-07,0.0062086,0,0,0,0,0,0,package://core_description/meshes/left_suspension_link.STL,0.35,0.35,0.35,1,0,0,0,0,0,0,package://core_description/meshes/left_suspension_link.STL,,A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A- POST BOND SUSPENSION (1)-1/P- CORE ATTACHMENT [POST BOND SUSPENSION] (1)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A- POST BOND SUSPENSION (1)-1/P- CENTER LEG [POST BOND SUSPENSION] (1)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A- POST BOND SUSPENSION (1)-1/P- LEG ATTACHMENT CIRCLE TO SQUARE [POST BOND SUSPENSION] (1)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A- POST BOND SUSPENSION (1)-1/P- SQUARE SIDE LEGS [POST BOND SUSPENSION] (1)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A-GEARBOX[DRIVETRAIN](2)-1/P-GEARBOX MOTOR ATTACH[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A-GEARBOX[DRIVETRAIN](2)-1/Flipsky 6354-4;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A-GEARBOX[DRIVETRAIN](2)-1/P-PLANETARY PLANETARY HOUSING[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A-GEARBOX[DRIVETRAIN](2)-1/P-BACK HOUSING[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A-GEARBOX[DRIVETRAIN](2)-1/P-FRONT HOUSING[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-1/Offset Sandwich Wheel-Hub-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A-GEARBOX[DRIVETRAIN](2)-2/P-PLANETARY PLANETARY HOUSING[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-2/Offset Sandwich Wheel-Hub-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A-GEARBOX[DRIVETRAIN](2)-2/P-FRONT HOUSING[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A-GEARBOX[DRIVETRAIN](2)-2/P-BACK HOUSING[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A-GEARBOX[DRIVETRAIN](2)-2/Flipsky 6354-4;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A-GEARBOX[DRIVETRAIN](2)-2/P-GEARBOX MOTOR ATTACH[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A- POST BOND SUSPENSION (1)-1/P- SQUARE SIDE LEGS [POST BOND SUSPENSION] (1)-2;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A- POST BOND SUSPENSION (1)-1/P- LEG ATTACHMENT CIRCLE TO SQUARE [POST BOND SUSPENSION] (1)-2;Averaging Shaft V4-2;6045N122_Low-Carbon Steel Round Tube 2-2,Origin_left_suspension_joint,Axis_right_suspension_joint,left_suspension_joint,revolute,0.025669,0.29798,-0.059879,1.5708,0.0086,3.1416,base_link,0,0,1,0,0,-0.38,0.38,,,,,,,,
fl_wheel_link,-0.023773,9.8782E-05,-6.6071E-05,0,0,0,5.1003,0.1327,2.8933E-08,3.2058E-07,0.071017,-3.1723E-06,0.071016,0,0,0,0,0,0,package://core_description/meshes/fl_wheel_link.STL,0.02,0.02,0.04,1,0,0,0,0,0,0,package://core_description/meshes/fl_wheel_link.STL,,A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-1/Offset Sandwich Wheel-Cap-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/Tread 1^A- TREAD ASSEMBLY WAVE UPDATED COMPOSITE [CORE]-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-1/P- 2025-2026 COMPOSITE WHEEL V2[WHEEL ASSEMBLY]-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-1/Part3^A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-1,Origin_fl_wheel_joint,Axis_front_wheels,fl_wheel_joint,continuous,-0.39101,-0.14546,0.1297,-3.0652,-1.5708,-1.5622,left_suspension_link,1,0,0,,,,,,,,,,,,
bl_wheel_link,-0.023773,9.8803E-05,-6.609E-05,0,0,0,5.1003,0.1327,1.4795E-08,3.1821E-07,0.071017,-3.2228E-06,0.071016,0,0,0,0,0,0,package://core_description/meshes/bl_wheel_link.STL,0.02,0.02,0.04,1,0,0,0,0,0,0,package://core_description/meshes/bl_wheel_link.STL,,A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-2/Offset Sandwich Wheel-Cap-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-2/P- 2025-2026 COMPOSITE WHEEL V2[WHEEL ASSEMBLY]-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-2/Part3^A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-2/Tread 1^A- TREAD ASSEMBLY WAVE UPDATED COMPOSITE [CORE]-2,Origin_bl_wheel_joint,Axis_back_wheels,bl_wheel_joint,continuous,0.39101,-0.14546,0.1297,2.2133,-1.5708,-1.5622,left_suspension_link,-1,0,0,,,,,,,,,,,,
right_suspension_link,0.086548,-0.090726,-0.10454,0,0,0,2.3189,0.0034651,-0.0025487,7.6346E-07,0.0036944,-1.9659E-07,0.0062086,0,0,0,0,0,0,package://core_description/meshes/right_suspension_link.STL,0.35,0.35,0.35,1,0,0,0,0,0,0,package://core_description/meshes/right_suspension_link.STL,,Averaging Shaft V4-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A- POST BOND SUSPENSION (1)-1/P- CORE ATTACHMENT [POST BOND SUSPENSION] (1)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A- POST BOND SUSPENSION (1)-1/P- CENTER LEG [POST BOND SUSPENSION] (1)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A- POST BOND SUSPENSION (1)-1/P- LEG ATTACHMENT CIRCLE TO SQUARE [POST BOND SUSPENSION] (1)-2;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A- POST BOND SUSPENSION (1)-1/P- SQUARE SIDE LEGS [POST BOND SUSPENSION] (1)-2;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A-GEARBOX[DRIVETRAIN](2)-2/P-GEARBOX MOTOR ATTACH[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A-GEARBOX[DRIVETRAIN](2)-2/Flipsky 6354-4;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A-GEARBOX[DRIVETRAIN](2)-2/P-BACK HOUSING[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A-GEARBOX[DRIVETRAIN](2)-2/P-PLANETARY PLANETARY HOUSING[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A-GEARBOX[DRIVETRAIN](2)-1/P-PLANETARY PLANETARY HOUSING[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A-GEARBOX[DRIVETRAIN](2)-1/P-BACK HOUSING[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A-GEARBOX[DRIVETRAIN](2)-1/P-FRONT HOUSING[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A-GEARBOX[DRIVETRAIN](2)-2/P-FRONT HOUSING[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A-GEARBOX[DRIVETRAIN](2)-1/Flipsky 6354-4;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A-GEARBOX[DRIVETRAIN](2)-1/P-GEARBOX MOTOR ATTACH[GEARBOX](2)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A- POST BOND SUSPENSION (1)-1/P- SQUARE SIDE LEGS [POST BOND SUSPENSION] (1)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A- POST BOND SUSPENSION (1)-1/P- LEG ATTACHMENT CIRCLE TO SQUARE [POST BOND SUSPENSION] (1)-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-1/Offset Sandwich Wheel-Hub-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-2/Offset Sandwich Wheel-Hub-1;6045N122_Low-Carbon Steel Round Tube 2-1,Origin_right_suspension_joint,Axis_right_suspension_joint,right_suspension_joint,revolute,0.0254,-0.23671,-0.028575,1.5708,0.76291,3.1416,base_link,0,0,1,0,0,-0.38,0.38,,,,,,,,
fr_wheel_link,-9.8802E-05,0.065,-6.6097E-05,0,0,0,5.1003,0.071017,-1.7613E-08,3.2228E-06,0.1327,3.1542E-07,0.071016,0,0,0,0,0,0,package://core_description/meshes/fr_wheel_link.STL,0.02,0.02,0.04,1,0,0,0,0,0,0,package://core_description/meshes/fr_wheel_link.STL,,A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-2/P- 2025-2026 COMPOSITE WHEEL V2[WHEEL ASSEMBLY]-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-2/Offset Sandwich Wheel-Cap-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-2/Part3^A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/Tread 1^A- TREAD ASSEMBLY WAVE UPDATED COMPOSITE [CORE]-2,Origin_fr_wheel_joint,Axis_front_wheels,fr_wheel_joint,continuous,-0.16048,-0.39797,-0.12125,-1.5708,0,-1.459,right_suspension_link,0,-1,0,,,,,,,,,,,,
br_wheel_link,-0.023773,9.8782E-05,-6.6074E-05,0,0,0,5.1003,0.1327,2.9563E-08,3.2879E-07,0.071017,-3.1723E-06,0.071016,0,0,0,0,0,0,package://core_description/meshes/br_wheel_link.STL,0.02,0.02,0.04,1,0,0,0,0,0,0,package://core_description/meshes/br_wheel_link.STL,,A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-1/Offset Sandwich Wheel-Cap-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-1/P- 2025-2026 COMPOSITE WHEEL V2[WHEEL ASSEMBLY]-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-1/Part3^A- WHEEL ASEMMBLY [CORE ROVER ASSEMBLY]-1;A- SUSPENSION MEMBER RIGHT [CORE ASSEMBLY]-1/Tread 1^A- TREAD ASSEMBLY WAVE UPDATED COMPOSITE [CORE]-1,Origin_br_wheel_joint,Axis_back_wheels,br_wheel_joint,continuous,0.40478,0.14243,-0.21002,0.89286,1.5708,0,right_suspension_link,1,0,0,,,,,,,,,,,,
averaging_bar_link,-5.3135E-13,0.0095448,-3.5616E-13,0,0,0,0.83085,9.3227E-05,2.0628E-19,6.1943E-14,0.023692,5.8241E-22,0.023649,0,0,0,0,0,0,package://core_description/meshes/averaging_bar_link.STL,0.9,0.9,0.9,1,0,0,0,0,0,0,package://core_description/meshes/averaging_bar_link.STL,,Old Averaging Bar (Modified)-1;6045N122_Low-Carbon Steel Round Tube-2;6045N122_Low-Carbon Steel Round Tube-1,Origin_averaging_bar_joint,Axis_averaging_bar,averaging_bar_joint,revolute,0.3066,-0.009525,0.075057,3.1416,0.003802,-1.5708,base_link,0,-1,0,0,0,-0.38,0.38,,,,,,,,
zed_camera_link,-0.0089676,-0.032487,-0.0027971,0,0,0,0.17032,3.2574E-05,-3.2795E-09,1.3829E-09,0.00038294,6.4525E-08,0.00039062,0,0,0,0,0,0,package://core_description/meshes/zed_camera_link.STL,0.1,0.1,0.3,1,0,0,0,0,0,0,package://core_description/meshes/zed_camera_link.STL,,ZED2istep-2,Origin_zed_camera_joint,,zed_camera_joint,fixed,0.30801,-0.00055649,0.041848,0,0,1.5708,base_link,0,0,0,,,,,,,,,,,,
gps_antenna_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://core_description/meshes/gps_antenna_link.STL,0.8,0.1,0.1,1,0,0,0,0,0,0,package://core_description/meshes/gps_antenna_link.STL,,P-GPS Antenna {Core]^A-Final Core Assembly URDF-1,Origin_gps_antenna_joint,,gps_antenna_joint,fixed,-0.42556,0.1677,1.4846,0,0,-1.5708,base_link,0,0,0,,,,,,,,,,,,
